,Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birthdate,College,Experience,Position,Team
20,E'Twaun Moore,56,504,149,62,139,44.6,13,38,34.2,12,20,60.0,12,34,46,33,20,6,14,45,155,2.36,1.43,26.0,"February 28, 1989",Purdue University,3,SG,CHI
21,Kentavious Caldwell-Pope,82,2587,1043,390,972,40.1,153,444,34.5,110,158,69.6,46,209,255,109,93,18,94,161,794,1.16,0.99,22.0,"February 18, 1993",University of Georgia,1,SG,DET
22,Sean Kilpatrick,4,72,22,7,20,35.0,4,13,30.8,4,4,100.0,1,5,6,4,3,0,2,3,20,2.0,1.5,25.0,"January 6, 1990",University of Cincinnati,R,SG,MIN
23,James Harden,81,2981,2217,647,1470,44.0,208,555,37.5,715,824,86.8,75,384,459,565,154,60,321,208,2202,1.76,0.48,26.0,"August 26, 1989",Arizona State University,5,SG,HOU
24,Lester Hudson,5,56,18,6,14,42.9,3,6,50.0,3,4,75.0,1,7,8,5,6,1,3,4,26,1.67,2.0,31.0,"August 7, 1984",University of Tennessee at Martin,3,SG,LAC
25,Eric Gordon,61,2018,818,285,694,41.1,141,315,44.8,107,133,80.5,28,131,159,229,50,14,122,145,713,1.88,0.41,27.0,"December 25, 1988",Indiana University,6,SG,NOH
26,KJ McDaniels,62,1352,487,172,434,39.6,43,150,28.7,100,133,75.2,65,135,200,72,44,70,105,126,473,0.69,0.42,22.0,"February 9, 1993",Clemson University,R,SG,PHI
27,Shannon Brown,5,89,20,7,19,36.8,3,7,42.9,3,4,75.0,0,1,1,3,4,0,4,8,11,0.75,1.0,30.0,"November 29, 1985",Michigan State University,8,SG,MIA
28,Patrick Christopher,4,29,6,3,12,25.0,0,4,0.0,0,0,0.0,2,4,6,0,1,0,1,6,3,0.0,1.0,27.0,"June 3, 1988",University of California,R,SG,UTA
29,Kirk Hinrich,66,1610,377,142,381,37.3,58,168,34.5,35,50,70.0,20,101,121,148,46,14,73,144,379,2.03,0.63,34.0,"January 2, 1981",University of Kansas,11,SG,CHI
30,Kyle Korver,75,2418,911,292,600,48.7,221,449,49.2,106,118,89.8,15,289,304,196,52,42,107,140,1078,1.83,0.49,34.0,"March 17, 1981",Creighton University,11,SG,ATL
31,Garrett Temple,52,736,204,68,170,40.0,33,88,37.5,35,48,72.9,24,66,90,56,42,9,34,76,252,1.65,1.24,29.0,"May 8, 1986",Louisiana State University,4,SG,WAS
32,Gary Harris,55,719,188,66,217,30.4,21,103,20.4,35,47,74.5,21,43,64,29,39,7,38,71,126,0.76,1.03,21.0,"September 14, 1994",Michigan State University,R,SG,DEN
33,Gary Neal,54,1192,543,188,503,37.4,50,164,30.5,117,135,86.7,14,115,129,100,23,1,65,88,398,1.54,0.35,31.0,"October 3, 1984",Towson University,4,SG,MIN
34,Jordan Adams,30,248,94,35,86,40.7,10,25,40.0,14,23,60.9,9,19,28,16,16,7,14,24,87,1.14,1.14,21.0,"July 8, 1994","University of California, Los Angeles",R,SG,MEM
35,Gerald Henderson,80,2315,969,370,847,43.7,45,136,33.1,184,217,84.8,36,237,273,206,51,22,110,135,901,1.87,0.46,28.0,"December 9, 1987",Duke University,5,SG,CHA
36,Shabazz Muhammad,38,866,512,194,397,48.9,20,51,39.2,104,145,71.7,63,91,154,44,18,7,35,49,456,1.26,0.51,23.0,"November 13, 1992","University of California, Los Angeles",1,SG,MIN
37,Lance Stephenson,61,1573,501,207,550,37.6,18,105,17.1,69,110,62.7,39,238,277,240,38,8,128,134,552,1.88,0.3,25.0,"September 5, 1990",University of Cincinnati,4,SG,CHA
38,Devyn Marble,16,208,37,14,44,31.8,4,22,18.2,5,16,31.3,5,26,31,17,9,2,9,14,46,1.89,1.0,23.0,"September 21, 1992",University of Iowa,R,SG,ORL
39,Glen Rice,5,43,11,3,15,20.0,1,7,14.3,4,6,66.7,2,2,4,2,0,0,2,11,1,1.0,0.0,24.0,"January 1, 1991",Georgia Institute of Technology,1,SG,WAS
40,John Jenkins,24,297,135,49,99,49.5,21,52,40.4,16,19,84.2,2,37,39,13,10,0,8,15,136,1.63,1.25,24.0,"March 6, 1991",Vanderbilt University,2,SG,ATL
41,Kevin Martin,39,1302,779,267,625,42.7,75,191,39.3,170,193,88.1,19,123,142,89,33,1,76,76,587,1.17,0.43,32.0,"February 1, 1983",Western Carolina University,10,SG,MIN
42,O.J. Mayo,71,1697,806,296,701,42.2,99,277,35.7,115,139,82.7,30,157,187,197,57,18,128,165,708,1.54,0.45,28.0,"November 5, 1987",University of Southern California,6,SG,MIL
43,DeMar DeRozan,60,2100,1204,409,990,41.3,25,88,28.4,361,434,83.2,41,236,277,210,73,11,137,122,984,1.53,0.53,26.0,"August 7, 1989",University of Southern California,5,SG,TOR
44,Markel Brown,47,781,216,76,210,36.2,17,64,26.6,47,57,82.5,16,91,107,39,31,12,27,57,234,1.44,1.15,23.0,"January 29, 1992",Oklahoma State University,R,SG,NJN
45,Klay Thompson,77,2455,1668,602,1299,46.3,239,545,43.9,225,256,87.9,27,220,247,222,87,60,149,122,1407,1.49,0.58,25.0,"February 8, 1990",Washington State University,3,SG,GSW
46,Arron Afflalo,78,2502,1035,375,884,42.4,118,333,35.4,167,198,84.3,27,220,247,129,41,7,116,167,803,1.11,0.35,30.0,"October 15, 1985","University of California, Los Angeles",7,SG,POR
47,Will Bynum,7,67,22,10,31,32.3,0,9,0.0,2,4,50.0,2,4,6,18,1,1,8,9,17,2.25,0.13,32.0,"January 4, 1983",Georgia Institute of Technology,7,SG,WAS
48,Ben McLemore,82,2670,996,363,831,43.7,140,391,35.8,130,160,81.3,31,210,241,140,77,19,138,219,837,1.01,0.56,22.0,"February 11, 1993",University of Kansas,1,SG,SAC
49,Ben Gordon,56,790,349,129,295,43.7,35,97,36.1,56,67,83.6,6,57,63,50,14,1,55,60,245,0.91,0.26,32.0,"April 4, 1983",University of Connecticut,10,SG,ORL
50,Avery Bradley,77,2428,1071,434,1013,42.8,124,352,35.2,79,100,79.0,46,195,241,135,82,15,109,177,835,1.24,0.75,25.0,"November 26, 1990",University of Texas at Austin,4,SG,BOS
51,Austin Rivers,76,1563,530,203,496,40.9,39,131,29.8,85,126,67.5,27,125,152,155,48,14,65,146,500,2.39,0.74,23.0,"August 1, 1992",Duke University,2,SG,NOH
52,Randy Foye,50,1087,435,148,402,36.8,94,263,35.7,45,55,81.8,9,76,85,119,34,11,60,97,360,1.98,0.57,32.0,"September 24, 1983",Villanova University,8,SG,DEN
53,Jared Cunningham,19,89,35,12,33,36.4,4,13,30.8,7,13,53.8,1,8,9,10,3,0,7,12,23,1.43,0.43,24.0,"May 22, 1991",Oregon State University,2,SG,LAC
54,Jason Richardson,19,416,172,62,178,34.8,31,96,32.3,17,22,77.3,13,53,66,38,13,3,16,28,155,2.38,0.81,34.0,"January 20, 1981",Michigan State University,12,SG,PHI
55,Victor Oladipo,72,2573,1292,473,1086,43.6,84,248,33.9,262,320,81.9,51,251,302,295,120,19,204,187,1153,1.45,0.59,23.0,"May 4, 1992",Indiana University,1,SG,ORL
56,Allen Crabbe,51,683,168,63,153,41.2,30,85,35.3,12,16,75.0,7,66,73,39,19,15,15,74,205,2.6,1.27,23.0,"April 9, 1992",University of California,1,SG,POR
57,Vince Carter,66,1091,384,135,406,33.3,69,232,29.7,45,57,78.9,27,106,133,79,43,14,43,102,327,1.84,1.0,38.0,"January 26, 1977",University of North Carolina,16,SG,MEM
58,Archie Goodwin,41,535,231,79,201,39.3,12,41,29.3,61,83,73.5,27,47,74,44,18,9,48,55,184,0.92,0.38,21.0,"August 17, 1994",University of Kentucky,1,SG,PHO
59,Anthony Morrow,74,1806,790,285,615,46.3,141,325,43.4,79,89,88.8,40,155,195,60,54,11,38,135,732,1.58,1.42,30.0,"September 27, 1985",Georgia Institute of Technology,6,SG,OKC
60,Wayne Ellington,65,1675,650,254,617,41.2,90,243,37.0,52,64,81.3,31,179,210,105,33,2,50,77,575,2.1,0.66,28.0,"October 29, 1987",University of North Carolina,5,SG,LAL
61,Jared Dudley,72,1717,518,198,423,46.8,74,192,38.5,48,67,71.6,45,175,220,130,72,11,62,113,645,2.1,1.16,30.0,"July 10, 1985",Boston College,7,SG,MIL
62,Wesley Matthews,60,2024,956,337,752,44.8,173,445,38.9,109,145,75.2,38,184,222,139,77,10,81,132,872,1.72,0.95,29.0,"October 14, 1986",Marquette University,5,SG,POR
63,Will Barton,58,984,397,150,353,42.5,23,85,27.1,74,94,78.7,26,136,162,81,48,19,61,70,423,1.33,0.79,24.0,"January 6, 1991",University of Memphis,2,SG,POR
64,Andre Roberson,67,1286,228,92,201,45.8,21,85,24.7,23,48,47.9,60,195,255,70,53,29,46,141,455,1.52,1.15,24.0,"December 4, 1991",University of Colorado,1,SG,OKC
65,Vander Blue,2,74,22,9,30,30.0,2,10,20.0,2,5,40.0,2,7,9,8,3,0,6,4,12,1.33,0.5,23.0,"July 17, 1992",Marquette University,1,SG,LAL
66,Joe Johnson,80,2791,1154,446,1025,43.5,121,337,35.9,141,176,80.1,53,331,384,292,59,14,137,120,1152,2.13,0.43,34.0,"June 29, 1981",University of Arkansas,13,SG,NJN
67,Bradley Beal,63,2107,962,363,851,42.7,106,259,40.9,130,166,78.3,57,184,241,194,76,18,123,136,844,1.58,0.62,22.0,"June 28, 1993",University of Florida,2,SG,WAS
68,Alan Anderson,74,1744,545,195,440,44.3,73,210,34.8,82,101,81.2,31,173,204,83,56,5,60,148,569,1.38,0.93,33.0,"October 16, 1982",Michigan State University,5,SG,NJN
69,Nick Johnson,28,262,74,26,75,34.7,5,21,23.8,17,25,68.0,13,26,39,11,7,3,19,34,58,0.58,0.37,23.0,"December 22, 1992",University of Arizona,R,SG,HOU
70,Troy Daniels,47,397,176,61,165,37.0,43,118,36.4,11,13,84.6,8,25,33,22,6,1,20,40,112,1.1,0.3,24.0,"July 15, 1991",Virginia Commonwealth University,1,SG,MIN
71,PJ Hairston,45,687,254,87,269,32.3,49,163,30.1,31,36,86.1,22,70,92,21,21,13,22,61,192,0.96,0.96,23.0,"December 24, 1992",University of North Carolina,R,SG,CHA
72,Nick Calathes,58,838,243,104,247,42.1,11,43,25.6,24,45,53.3,19,87,106,146,63,5,61,100,338,2.39,1.03,26.0,"February 7, 1989",University of Florida,1,SG,MEM
73,Joe Harris,51,493,136,48,120,40.0,31,84,36.9,9,15,60.0,7,34,41,26,7,2,27,62,107,0.96,0.26,24.0,"September 7, 1991",University of Virginia,R,SG,CLE
74,Matthew Dellavedova,67,1380,319,111,307,36.2,68,167,40.7,29,38,76.3,37,89,126,204,24,2,61,152,409,3.34,0.39,25.0,"September 8, 1990",Saint Mary's College of California,1,SG,CLE
75,Willie Green,52,951,306,118,306,38.6,42,121,34.7,28,34,82.4,14,65,79,68,26,5,48,81,242,1.42,0.54,34.0,"July 28, 1981",University of Detroit Mercy,11,SG,ORL
76,Andre Dawkins,4,22,3,1,6,16.7,1,6,16.7,0,0,0.0,0,2,2,1,0,0,1,3,0,1.0,0.0,24.0,"September 19, 1991",Duke University,R,SG,MIA
77,Rodney Hood,50,1064,433,155,374,41.4,62,170,36.5,61,80,76.3,9,108,117,83,30,12,45,119,392,1.84,0.67,23.0,"October 20, 1992",Duke University,R,SG,UTA
78,Justin Holiday,59,657,254,91,235,38.7,35,109,32.1,37,45,82.2,12,61,73,48,40,12,29,54,246,1.66,1.38,26.0,"April 5, 1989",University of Washington,1,SG,GSW
79,Brandon Rush,33,271,30,11,54,20.4,3,27,11.1,5,11,45.5,4,37,41,12,5,12,11,27,40,1.09,0.46,30.0,"July 7, 1985",University of Kansas,6,SG,GSW
80,Brandon Knight,63,2035,1070,375,888,42.2,125,321,38.9,195,223,87.4,28,216,244,330,90,10,189,114,1014,1.75,0.48,24.0,"December 2, 1991",University of Kentucky,3,SG,PHO
81,Tyler Johnson,32,603,190,70,167,41.9,18,48,37.5,32,47,68.1,14,67,81,42,33,9,30,42,213,1.4,1.1,23.0,"May 7, 1992","California State University, Fresno",R,SG,MIA
82,Alec Burks,27,899,374,121,300,40.3,26,68,38.2,106,129,82.2,19,95,114,82,17,5,52,64,338,1.58,0.33,24.0,"July 20, 1991",University of Colorado,3,SG,UTA
83,Tyreke Evans,79,2690,1313,521,1165,44.7,69,227,30.4,202,291,69.4,82,334,416,521,100,37,246,198,1408,2.12,0.41,26.0,"September 19, 1989",University of Memphis,5,SG,NOH
84,Francisco Garcia,14,200,45,17,63,27.0,10,45,22.2,1,4,25.0,3,14,17,15,9,5,10,20,32,1.5,0.9,34.0,"December 31, 1981",University of Louisville,9,SF,HOU
85,Richard Jefferson,74,1244,432,144,324,44.4,66,155,42.6,78,114,68.4,25,158,183,61,32,11,52,115,451,1.17,0.62,35.0,"June 21, 1980",University of Arizona,13,SF,DAL
86,Robbie Hummel,45,742,198,79,172,45.9,16,51,31.4,24,29,82.8,31,103,134,27,16,9,18,86,268,1.5,0.89,26.0,"March 8, 1989",Purdue University,1,SF,MIN
87,Jeffery Taylor,29,430,127,45,114,39.5,11,36,30.6,26,41,63.4,14,39,53,22,12,1,19,36,112,1.16,0.63,26.0,"May 23, 1989",Vanderbilt University,2,SF,CHA
88,Khris Middleton,79,2378,1055,406,869,46.7,109,268,40.7,134,156,85.9,48,299,347,182,122,11,113,183,1119,1.61,1.08,24.0,"August 12, 1991",Texas A&M University,2,SF,MIL
89,James Jones,57,669,250,74,201,36.8,63,175,36.0,39,46,84.8,9,53,62,24,13,8,13,67,210,1.85,1.0,35.0,"October 4, 1980",University of Miami,11,SF,CLE
90,Jerami Grant,65,1377,411,124,352,35.2,49,156,31.4,114,193,59.1,49,149,198,79,40,68,85,144,404,0.93,0.47,21.0,"March 12, 1994",Syracuse University,R,SF,PHI
91,Robert Covington,70,1956,943,299,756,39.6,167,446,37.4,178,217,82.0,65,251,316,105,97,31,128,189,868,0.82,0.76,25.0,"December 14, 1990",Tennessee State University,1,SF,PHI
92,Gordon Hayward,76,2618,1463,484,1087,44.5,120,330,36.4,375,462,81.2,54,319,373,313,108,30,206,131,1391,1.52,0.52,25.0,"March 23, 1990",Butler University,4,SF,UTA
93,Paul George,6,91,53,18,49,36.7,9,22,40.9,8,11,72.7,4,18,22,6,5,1,12,11,41,0.5,0.42,25.0,"May 2, 1990","California State University, Fresno",4,SF,IND
94,Kevin Durant,27,913,686,238,467,51.0,64,159,40.3,146,171,85.4,16,162,178,110,24,25,74,40,695,1.49,0.32,27.0,"September 29, 1988",University of Texas at Austin,7,SF,OKC
95,Kawhi Leonard,64,2033,1057,394,822,47.9,67,192,34.9,202,252,80.2,85,376,461,161,148,48,97,128,1300,1.66,1.53,24.0,"June 29, 1991",San Diego State University,3,SF,SAS
96,Harrison Barnes,82,2318,827,316,656,48.2,87,215,40.5,108,150,72.0,117,336,453,116,61,19,71,146,1023,1.63,0.86,23.0,"May 30, 1992",University of North Carolina,2,SF,GSW
97,Paul Pierce,73,1914,868,293,656,44.7,118,303,38.9,164,210,78.1,45,249,294,144,46,24,92,160,875,1.57,0.5,38.0,"October 13, 1977",University of Kansas,16,SF,WAS
98,Jeremy Evans,38,266,90,32,58,55.2,2,5,40.0,24,29,82.8,26,45,71,13,11,12,5,29,161,2.6,2.2,28.0,"October 24, 1987",Western Kentucky University,4,SF,UTA
99,Rudy Gay,68,2408,1432,508,1116,45.5,79,220,35.9,337,393,85.8,98,301,399,250,71,41,183,157,1346,1.37,0.39,29.0,"August 17, 1986",University of Connecticut,8,SF,SAC
100,Jae Crowder,82,1647,628,229,545,42.0,61,208,29.3,109,141,77.3,72,221,293,94,72,25,49,137,715,1.92,1.47,25.0,"July 6, 1990",Marquette University,2,SF,DAL
101,Jordan Hamilton,14,122,38,14,35,40.0,10,21,47.6,0,0,0.0,2,14,16,7,2,0,4,14,38,1.75,0.5,25.0,"October 6, 1990",University of Texas at Austin,3,SF,LAC
102,Perry Jones III,43,631,184,73,184,39.7,14,60,23.3,24,37,64.9,6,70,76,18,17,8,24,50,155,0.75,0.71,24.0,"September 24, 1991",Baylor University,2,SF,OKC
103,James Ennis III,62,1051,312,101,247,40.9,31,95,32.6,79,94,84.0,51,125,176,48,25,17,39,89,378,1.23,0.64,25.0,"July 1, 1990","California State University, Long Beach",R,SF,MIA
104,Mike Miller,52,701,109,37,114,32.5,32,98,32.7,3,4,75.0,4,87,91,46,14,4,23,74,163,2.0,0.61,35.0,"February 19, 1980",University of Florida,14,SF,CLE
105,Luke Babbitt,63,830,256,92,192,47.9,59,115,51.3,13,19,68.4,12,99,111,24,17,11,26,63,287,0.92,0.65,26.0,"June 20, 1989","University of Nevada, Reno",4,SF,NOH
106,Cleanthony Early,39,647,210,76,214,35.5,22,84,26.2,36,48,75.0,22,75,97,36,24,12,40,57,189,0.9,0.6,24.0,"April 17, 1991",Wichita State University,R,SF,NYK
107,Maurice Harkless,45,674,158,63,158,39.9,10,56,17.9,22,41,53.7,38,68,106,25,32,9,27,66,189,0.93,1.19,22.0,"May 11, 1993",St. John's University,2,SF,ORL
108,Chris Johnson,29,527,166,62,154,40.3,28,95,29.5,14,16,87.5,8,47,55,15,26,7,15,44,160,1.0,1.73,25.0,"April 29, 1990",University of Dayton,2,SF,PHI
109,Chris Copeland,50,828,309,112,310,36.1,52,167,31.1,33,45,73.3,23,88,111,51,11,11,59,78,224,0.86,0.19,31.0,"March 17, 1984",University of Colorado,2,SF,IND
110,Trevor Ariza,82,2930,1048,366,910,40.2,194,555,35.0,122,143,85.3,77,382,459,209,152,17,141,186,1179,1.48,1.08,30.0,"June 30, 1985","University of California, Los Angeles",10,SF,HOU
111,Chase Budinger,67,1286,457,169,390,43.3,52,143,36.4,67,81,82.7,33,165,198,64,44,10,49,72,489,1.31,0.9,27.0,"May 22, 1988",University of Arizona,5,SF,MIN
112,Chandler Parsons,66,2186,1037,383,829,46.2,132,347,38.0,139,193,72.0,64,259,323,161,69,19,96,140,1013,1.68,0.72,27.0,"October 25, 1988",University of Florida,3,SF,DAL
113,Cartier Martin,23,198,36,15,53,28.3,6,33,18.2,0,0,0.0,0,20,20,11,3,1,5,20,28,2.2,0.6,31.0,"November 20, 1984",Kansas State University,6,SF,DET
114,Caron Butler,78,1623,460,161,396,40.7,83,219,37.9,55,61,90.2,21,175,196,79,43,4,49,120,492,1.61,0.88,35.0,"March 13, 1980",University of Connecticut,12,SF,DET
115,Carmelo Anthony,40,1428,966,358,806,44.4,61,179,34.1,189,237,79.7,72,192,264,122,40,17,89,87,824,1.37,0.45,31.0,"May 29, 1984",Syracuse University,11,SF,NYK
116,Matt Barnes,76,2271,764,277,624,44.4,136,376,36.2,74,95,77.9,51,251,302,114,67,50,87,240,842,1.31,0.77,35.0,"March 9, 1980","University of California, Los Angeles",11,SF,LAC
117,Michael Beasley,24,505,212,92,212,43.4,8,34,23.5,20,26,76.9,12,77,89,32,15,13,37,66,198,0.87,0.41,26.0,"January 9, 1989",Kansas State University,6,SF,MIA
118,Kyle Anderson,33,358,74,31,89,34.8,3,11,27.3,9,14,64.3,5,67,72,28,15,7,10,28,123,2.8,1.5,22.0,"September 20, 1993","University of California, Los Angeles",R,SF,SAS
119,Austin Daye,34,344,129,50,141,35.5,24,71,33.8,5,6,83.3,10,65,75,17,12,5,23,39,123,0.74,0.52,27.0,"June 5, 1988",Gonzaga University,5,SF,SAS
120,Wesley Johnson,76,2245,753,286,691,41.4,91,259,35.1,90,112,80.4,67,252,319,124,59,45,87,162,786,1.43,0.68,28.0,"July 11, 1987",Syracuse University,4,SF,LAL
121,Michael Kidd-Gilchrist,55,1587,598,224,482,46.5,0,0,0.0,150,214,70.1,109,307,416,77,30,38,63,115,774,1.22,0.48,22.0,"September 26, 1993",University of Kentucky,2,SF,CHA
122,Andre Iguodala,77,2069,604,231,496,46.6,74,212,34.9,68,114,59.6,44,213,257,228,89,25,88,100,804,2.59,1.01,31.0,"January 28, 1984",University of Arizona,10,SF,GSW
123,Alonzo Gee,54,661,241,87,186,46.8,13,35,37.1,54,77,70.1,37,57,94,25,35,7,33,58,247,0.76,1.06,28.0,"May 29, 1987",University of Alabama,5,SF,POR
124,Al-Farouq Aminu,74,1366,412,147,357,41.2,34,124,27.4,84,118,71.2,114,228,342,59,70,62,55,137,646,1.07,1.27,25.0,"September 21, 1990",Wake Forest University,4,SF,DAL
125,Wilson Chandler,78,2471,1085,418,975,42.9,139,406,34.2,110,142,77.5,96,379,475,134,58,29,110,231,1082,1.22,0.53,28.0,"May 10, 1987",DePaul University,7,SF,DEN
126,Xavier Henry,9,86,20,3,13,23.1,0,0,0.0,14,24,58.3,2,2,4,3,3,0,3,6,7,1.0,1.0,24.0,"March 15, 1991",University of Kansas,4,SF,LAL
127,Mike Dunleavy,63,1838,595,209,481,43.5,107,263,40.7,70,87,80.5,28,220,248,114,39,21,60,123,668,1.9,0.65,35.0,"September 15, 1980",Duke University,12,SF,CHI
128,Tony Snell,72,1412,435,159,371,42.9,73,197,37.1,44,55,80.0,31,145,176,62,32,11,48,86,445,1.29,0.67,24.0,"November 10, 1991",University of New Mexico,1,SF,CHI
129,Jeff Green,78,2455,1168,416,967,43.0,97,292,33.2,239,287,83.3,64,264,328,134,53,34,108,147,1010,1.24,0.49,29.0,"August 28, 1986",Georgetown University,6,SF,MEM
130,Corey Brewer,80,2087,917,343,805,42.6,63,235,26.8,168,226,74.3,80,217,297,173,114,19,131,173,869,1.32,0.87,29.0,"March 5, 1986",University of Florida,7,SF,MIN
131,Tobias Harris,68,2369,1164,442,949,46.6,87,239,36.4,193,245,78.8,73,357,430,124,69,36,115,134,1149,1.08,0.6,23.0,"July 15, 1992",University of Tennessee,3,SF,ORL
132,Shawn Marion,57,1101,276,119,267,44.6,12,46,26.1,26,34,76.5,64,138,202,51,27,27,33,58,394,1.55,0.82,37.0,"May 7, 1978","University of Nevada, Las Vegas",15,SF,CLE
133,Reggie Bullock,36,338,69,24,70,34.3,15,46,32.6,6,9,66.7,1,49,50,8,10,4,8,19,84,1.0,1.25,24.0,"March 16, 1991",University of North Carolina,1,SF,PHO
134,Solomon Hill,82,2381,729,251,634,39.6,68,208,32.7,159,193,82.4,70,244,314,184,66,18,115,177,779,1.6,0.57,24.0,"March 18, 1991",University of Arizona,1,SF,IND
135,Kyle Singler,80,1744,480,172,446,38.6,96,241,39.8,40,52,76.9,33,161,194,85,47,21,55,153,486,1.55,0.86,27.0,"May 4, 1988",Duke University,2,SF,OKC
136,Doug McDermott,36,321,109,43,107,40.2,13,41,31.7,10,15,66.7,6,37,43,6,4,1,17,29,77,0.35,0.24,23.0,"January 3, 1992",Creighton University,R,SF,CHI
137,Otto Porter Jr.,74,1432,445,176,391,45.0,35,104,33.7,58,79,73.4,70,151,221,65,44,30,52,97,517,1.25,0.85,22.0,"June 3, 1993",Georgetown University,1,SF,WAS
138,Landry Fields,26,216,46,20,41,48.8,1,2,50.0,5,6,83.3,10,16,26,15,11,0,8,9,68,1.88,1.38,27.0,"June 27, 1988",Stanford University,4,SF,TOR
139,Quincy Pondexter,75,1793,538,188,447,42.1,91,244,37.3,71,96,74.0,53,142,195,94,19,24,51,150,535,1.84,0.37,27.0,"March 10, 1988",University of Washington,4,SF,NOH
140,DeMarre Carroll,70,2189,883,318,653,48.7,120,304,39.5,127,181,70.2,99,273,372,118,94,17,75,154,1020,1.57,1.25,29.0,"July 27, 1986",University of Missouri,5,SF,ATL
141,Tayshaun Prince,58,1397,434,177,402,44.0,31,67,46.3,49,65,75.4,52,158,210,93,29,16,35,55,506,2.66,0.83,35.0,"February 28, 1980",University of Kentucky,12,SF,MEM
